StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,D2,D3,D3_4_TEXT,D4,1_Q2,1_Q3,1_Q4,1_Q5,1_Q7,1_Q8,1_Q12,1_Q13,2_Q2,2_Q3,2_Q4,2_Q5,2_Q7,2_Q8,2_Q12,2_Q13,3_Q2,3_Q3,3_Q4,3_Q5,3_Q7,3_Q8,3_Q12,3_Q13,4_Q2,4_Q3,4_Q4,4_Q5,4_Q7,4_Q8,4_Q12,4_Q13,SolutionRevision,ProjectCategory,ProjectType
2022-06-25 11:24:04,2022-06-25 11:27:04,IP Address,70.166.93.36,100,179,True,2022-06-25 11:27:04,R_12LMGBmDYzrUUQz,,,,,32.7404,-117.1355,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,Very different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$40 - $50,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Very different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 11:26:17,2022-06-25 11:29:23,IP Address,76.178.40.185,100,186,True,2022-06-25 11:29:24,R_3CZrKegCrhBiz8O,,,,,32.7808,-115.5627,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,A little different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Somewhat positive,A little different,Very appealing,Like somewhat,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 11:28:57,2022-06-25 11:30:19,IP Address,150.107.0.12,100,82,True,2022-06-25 11:30:20,R_2vexmQCM45JcfXQ,,,,,22.2578,114.1657,anonymous,EN,18-24 years old,Working full-time,Male,,Widowed,Somewhat positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Somewhat positive,A little different,Not very appealing,Neither like nor dislike,Extremely relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$30 - $40,Extremely positive,A little different,Appealing,Dislike somewhat,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:25:11,2022-06-25 11:30:56,IP Address,95.90.192.185,100,345,True,2022-06-25 11:30:57,R_2dKrpB9lqyZEFKM,,,,,48.1417,11.5644,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:25:03,2022-06-25 11:31:14,IP Address,91.103.251.13,100,370,True,2022-06-25 11:31:14,R_2DULbbQaLPGU8eo,,,,,40.1817,44.5099,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Neither positive nor negative,Different,A little appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Somewhat negative,A little different,Not very appealing,Dislike a great deal,Extremely irrelevant,I don't see any reason to use this,Extremely unlikely,,2,PX,ConceptTesting
2022-06-25 11:31:04,2022-06-25 11:33:58,IP Address,73.40.53.173,100,173,True,2022-06-25 11:33:58,R_1nTq6hlzJOg2CII,,,,,38.412,-82.3698,anonymous,EN,45-54 years old,Working full-time,Female,,Married,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:30:42,2022-06-25 11:35:09,IP Address,107.77.229.77,100,266,True,2022-06-25 11:35:09,R_2y1t2F5PuBlNHTh,,,,,34.118,-118.3303,anonymous,EN,25-34 years old,Student,Female,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$5 - $10,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:32:39,2022-06-25 11:35:25,IP Address,47.232.170.239,100,166,True,2022-06-25 11:35:26,R_25Y1cmE1WW6B13m,,,,,34.1836,-118.2963,anonymous,EN,18-24 years old,Working full-time,Male,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$20 - $30,Somewhat positive,Different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,,$20 - $30,Somewhat positive,Different,Appealing,Neither like nor dislike,Somewhat relevant,I don't see any reason to use this,Somewhat likely,$20 - $30,Somewhat positive,Different,A little appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:30:31,2022-06-25 11:35:48,IP Address,76.178.43.159,100,316,True,2022-06-25 11:35:48,R_2WAzw3lxoTs4eOv,,,,,32.8483,-115.5776,anonymous,EN,18-24 years old,Working part-time,Female,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$10 - $15,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat irrelevant,I don't see any reason to use this,Extremely unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:32:34,2022-06-25 11:37:02,IP Address,108.160.183.50,100,268,True,2022-06-25 11:37:03,R_3pZw82M7aKce0F3,,,,,32.5309,-97.3134,anonymous,EN,18-24 years old,Working full-time,Female,,Married,Extremely positive,Very different,Appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Somewhat positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$40 - $50,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$5 - $10,2,PX,ConceptTesting
2022-06-25 11:35:00,2022-06-25 11:38:12,IP Address,104.169.68.4,100,192,True,2022-06-25 11:38:12,R_2SDHyXenBoUFyi0,,,,,39.5985,-82.9259,anonymous,EN,35-44 years old,A homemaker or stay-at-home parent,Female,,Married,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$15 - $20,Somewhat negative,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$5 - $10,Neither positive nor negative,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Extremely positive,A little different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:33:56,2022-06-25 11:39:04,IP Address,90.92.212.105,100,308,True,2022-06-25 11:39:04,R_BLZxWkRfn3Vaw3D,,,,,48.7655,2.401,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:36:17,2022-06-25 11:40:24,IP Address,107.77.229.10,100,246,True,2022-06-25 11:40:24,R_21h7y0wMBs5cMso,,,,,34.118,-118.3303,anonymous,EN,18-24 years old,Working part-time,Female,,Never been married,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat irrelevant,What I am currently using is better than this,Somewhat unlikely,$15 - $20,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Somewhat unlikely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-25 11:41:35,2022-06-25 11:45:33,IP Address,172.58.21.64,100,238,True,2022-06-25 11:45:33,R_2t4JaaYXLIY5Pbn,,,,,33.4475,-112.0866,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Somewhat positive,Very different,Very appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$50+,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Extremely positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:43:33,2022-06-25 11:45:37,IP Address,98.161.40.230,100,123,True,2022-06-25 11:45:37,R_UJvd340VS9DqV8J,,,,,41.2132,-96.1668,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,A little different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Neither positive nor negative,Different,Very appealing,Like a great deal,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Very appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:43:02,2022-06-25 11:46:50,IP Address,73.221.143.10,100,228,True,2022-06-25 11:46:51,R_u4jNvrSUGr5CXuh,,,,,47.6631,-122.3029,anonymous,EN,18-24 years old,Working full-time,Male,,Living with a partner,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Somewhat relevant,What I am currently using is better than this,Somewhat unlikely,$5 - $10,Neither positive nor negative,Not very different,Not very appealing,Dislike somewhat,Somewhat irrelevant,I don't see any reason to use this,Extremely unlikely,$5 - $10,Somewhat positive,Very different,A little appealing,Like a great deal,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 11:44:59,2022-06-25 11:47:16,IP Address,104.172.3.76,100,136,True,2022-06-25 11:47:16,R_3for1VzGRs8i6VK,,,,,34.1531,-118.4296,anonymous,EN,Under 18,Student,Female,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:43:39,2022-06-25 11:47:23,IP Address,172.114.114.140,100,224,True,2022-06-25 11:47:23,R_123iyoDOZIS9iZU,,,,,34.2529,-118.418,anonymous,EN,35-44 years old,Working full-time,Female,,Married,Somewhat negative,A little different,Not very appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$5 - $10,Somewhat negative,A little different,A little appealing,Dislike a great deal,Neither relevant nor irrelevant,What I am currently using is better than this,Somewhat unlikely,$5 - $10,Somewhat negative,A little different,Not very appealing,Dislike somewhat,Neither relevant nor irrelevant,What I am currently using is better than this,Somewhat unlikely,$5 - $10,Somewhat negative,A little different,A little appealing,Dislike a great deal,Somewhat irrelevant,This is essentially the same as what I am currently using,Somewhat unlikely,$5 - $10,2,PX,ConceptTesting
2022-06-25 11:43:54,2022-06-25 11:47:54,IP Address,172.118.193.181,100,239,True,2022-06-25 11:47:55,R_3sncn2nBhTJ4STP,,,,,34.0447,-118.2946,anonymous,EN,18-24 years old,Student,Female,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 11:44:47,2022-06-25 11:49:55,IP Address,217.138.206.86,100,308,True,2022-06-25 11:49:56,R_3fTqA0TeFJH5WCk,,,,,40.7157,-74,anonymous,EN,25-34 years old,Working part-time,Female,,Living with a partner,Somewhat positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Somewhat positive,Not very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Somewhat positive,Not very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
